callsign,originCountry,lat,lon,alt,vel,dir,cat
AIC2024 ,India,48.2186,6.5323,10660.38,265.29,111.74,0
EJU67XQ ,Austria,32.692,-16.7814,,7.72,225.0,0
DLH884  ,Germany,54.3503,14.7972,10058.4,239.94,41.0,0
N805WM  ,United States,38.9697,-77.453,,0.0,50.62,0
ASA410  ,United States,47.4589,-122.3062,,0.0,0.0,0
UAL2276 ,United States,37.9777,-77.6448,4762.5,185.43,23.72,0
N6KM    ,United States,26.4386,-81.4156,1737.36,79.0,119.24,0
NSZ24J  ,Sweden,54.1918,13.1918,11582.4,239.29,27.39,0
ANZ104M ,New Zealand,-37.5654,174.9929,4716.78,151.29,6.84,0
N339LS  ,United States,37.1891,-110.7429,12496.8,286.88,65.64,0
HBJFR   ,Switzerland,44.6085,-63.1286,13716.0,203.21,250.79,0
AXB1201 ,India,28.5757,76.9314,868.68,95.83,103.66,0
DAL1443 ,United States,42.1579,-71.0474,3649.98,203.28,139.62,0
AAL123  ,United States,34.3184,-119.4248,12192.0,227.38,264.55,0
ASA825  ,United States,46.807900000000004,-124.4078,8260.08,219.83,231.84,0
N833DS  ,United States,38.8443,-104.503,3017.52,53.42,151.21,0
,United States,31.088,-97.6847,,7.46,196.88,0
PGT620  ,Turkey,36.8521,30.7967,10660.38,220.72,179.2,0
PGT2097 ,Turkey,40.8377,29.175,662.94,76.38,63.61,0
AZU6006 ,Brazil,-15.868500000000001,-47.9187,,0.0,357.19,0
AAL514  ,United States,43.0974,-77.3301,10972.8,202.19,270.73,0
DLH242  ,Germany,46.3657,8.669,10668.0,228.27,152.34,0
EJA598  ,United States,29.8625,-82.3346,7620.0,248.18,166.45,0
ARE4094 ,Chile,6.421,-73.6497,9227.82,225.14,9.2,0
TAP073  ,Portugal,-7.343,-38.6549,12192.0,224.35,193.53,0
LPE2440 ,Chile,5.6538,-73.1017,11277.6,222.59,15.96,0
ENY3620 ,United States,40.4815,-88.9144,,0.0,323.44,0
LPE2390 ,Chile,-6.9195,-75.4051,10660.38,232.04,5.47,0
TAM3743 ,Brazil,-5.5326,-39.7447,10096.5,227.39,216.35,0
DLH1KC  ,Germany,47.8942,11.3303,3345.18,191.14,351.02,0
DAL17   ,United States,42.2291,-83.3273,312.42,70.91,208.61,0
TAP237M ,Portugal,41.5043,-115.3622,11582.4,213.9,247.81,0
,Germany,48.363,11.7703,,18.52,84.38,0
DLH888  ,Germany,50.869,9.901299999999999,7658.1,233.23,54.7,0
N595DC  ,United States,34.7296,-111.2852,11887.2,239.15,122.97,0
DAL1386 ,United States,30.0947,-83.891,11277.6,251.92,149.98,0
DLH09M  ,Germany,46.366,5.5605,10683.24,237.93,229.56,0
DLH8XK  ,Germany,56.503,18.029,10668.0,251.13,34.15,0
SWA2758 ,United States,37.7113,-122.213,,0.0,56.25,0
AAY657  ,United States,33.3831,-111.6762,807.72,93.92,253.45,0
GPD683  ,United States,18.3437,-65.5144,3665.22,107.31,104.44,0
N9255C  ,United States,29.276,-81.0261,281.94,47.85,333.16,0
GAQV    ,United States,49.0518,-122.3349,457.2,40.51,319.64,0
LPE2109 ,Chile,-12.1666,-77.0416,1981.2,142.0,154.92,0
,United States,41.9799,-87.908,,5.14,11.25,0
SWA3249 ,United States,43.0057,-73.8252,10972.8,199.17,271.63,0
N800RS  ,United States,33.8645,-87.0607,12496.8,272.1,78.88,0
UAL1561 ,United States,37.601,-121.2011,5318.76,172.11,260.54,0
DAL3142 ,United States,33.7415,-84.582,2026.92,139.41,0.0,0
WZZ80HD ,Hungary,52.3274,4.4224,10066.02,212.79,80.54,0
N677J   ,United States,35.2218,-90.387,4823.46,101.03,235.58,0
LPE2450 ,Chile,3.5482,-73.7418,10668.0,234.04,15.69,0
WMT6937 ,Hungary,42.1895,18.1152,10622.28,199.64,304.71,0
WZZ97BF ,Hungary,45.0174,15.8464,10363.2,217.8,32.26,0
N900RL  ,United States,26.3316,-82.9301,7284.72,217.22,297.66,0
WZZ42RG ,Hungary,46.7189,10.8479,10568.94,200.65,217.6,0
WZZ384T ,Hungary,38.6661,-3.3784,10363.2,220.68,20.04,0
IGO1605 ,India,13.0422,80.5287,10066.02,232.26,97.13,0
LNE1453 ,Chile,25.485500000000002,-80.1095,2910.84,151.31,149.34,0
LPE2028 ,Chile,-12.2978,-76.8892,3375.66,172.09,116.26,0
EZY96FC ,United Kingdom,32.9353,-15.2956,10965.18,217.22,19.51,0
IGO1001 ,India,1.7048,103.0116,6781.8,207.22,129.46,0
SWA4714 ,United States,30.8092,-91.4607,7962.9,213.73,296.75,0
N492HC  ,United States,29.9276,-95.4232,289.56,60.05,353.61,0
EJA949  ,United States,34.2941,-90.914,13106.4,163.11,290.49,0
EZY15KP ,United Kingdom,50.53,0.9982000000000001,5996.94,167.56,312.01,0
LPE2381 ,Chile,-34.5576,-58.4143,,0.0,300.94,0
LPE2237 ,Chile,-8.1915,-75.4991,10965.18,228.97,183.99,0
SWA1417 ,United States,35.2411,-86.1489,10668.0,282.66,137.95,0
LPE2261 ,Chile,-11.9501,-77.2043,1424.94,130.99,316.27,0
SKW3861 ,United States,45.2983,-92.3068,6896.1,215.75,72.52,0
AAL1056 ,United States,37.0418,-85.9864,8534.4,196.52,247.53,0
BLZR258 ,United States,33.6503,-88.8856,7642.86,161.49,218.4,0
,United States,21.4954,-158.3097,6248.4,208.9,116.94,0
N756PA  ,United States,28.5471,-81.3746,388.62,52.69,260.45,0
DAL894  ,United States,32.6965,-116.8524,1684.02,111.15,249.97,0
DAL508  ,United States,43.1738,-88.3925,10668.0,261.94,112.03,0
        ,Australia,-38.0271,144.4732,,1.03,8.44,0
FFT4092 ,United States,38.9684,-76.5338,1653.54,117.65,8.8,0
N809C   ,United States,42.7052,-81.7832,2065.02,100.66,66.19,0
SWA2766 ,United States,28.6421,-82.2566,3535.68,153.32,179.23,0
        ,United States,33.962,-94.5782,12268.2,203.38,248.17,0
RPA4449 ,United States,40.1434,-78.347,10972.8,199.03,273.85,0
GLO2072 ,Brazil,-15.8803,-47.9336,1059.18,82.31,267.19,0
AZU2003 ,Brazil,-21.4527,-48.4732,11277.6,217.42,153.13,0
VIV164  ,Mexico,26.5088,-99.325,11894.82,238.51,11.7,0
JZA812  ,Canada,44.8045,-75.6016,8031.48,240.91,69.63,0
N930VM  ,United States,33.2404,-116.8862,2217.42,95.04,235.36,0
ASA1130 ,United States,46.0216,-122.6592,8671.56,237.43,349.64,0
RPA4479 ,United States,40.4337,-74.5432,3124.2,196.06,91.35,0
LPE2479 ,Chile,29.416,-110.8909,10066.02,240.16,129.35,0
VJA141  ,United States,30.9293,-99.6935,13106.4,202.5,282.02,0
XBPCU   ,Mexico,29.4302,-111.043,2865.12,67.92,181.3,0
DLH773  ,Germany,29.6288,74.9339,11582.4,206.1,306.27,0
AAL990  ,United States,34.3524,-86.3536,8778.24,299.14,105.26,0
DLH452  ,Germany,48.0081,-101.5474,11582.4,244.27,216.44,0
DAL823  ,United States,34.9316,-85.0009,7924.8,219.81,340.59,0
EJA246  ,United States,42.7616,-78.9436,4511.04,141.33,222.05,0
UAL1013 ,United States,33.9424,-118.3978,,0.45,81.56,0
SWR14V  ,Switzerland,41.2647,-71.9394,7315.2,176.06,219.78,0
DAL2114 ,United States,44.4887,-94.0233,5623.56,208.26,233.64,0
JZA694  ,Canada,42.4625,-70.7065,1318.26,114.23,144.16,0
FRV545  ,United States,42.142,-88.2703,6042.66,135.84,251.22,0
AAL119  ,United States,32.1994,-119.9435,12192.0,222.04,227.07,0
VOE91AA ,Spain,44.8382,4.996,4709.16,197.43,6.88,0
SWR8T   ,Switzerland,48.3566,-81.2306,11582.4,229.16,228.18,0
VOE4SX  ,Spain,42.9423,-2.3014,8107.68,234.55,157.43,0
N189WM  ,United States,36.1229,-84.1608,2286.0,88.15,151.79,0
DLH892  ,Germany,50.1644,8.3453,3535.68,144.67,16.95,0
LPE2208 ,Chile,-11.9138,-77.1681,617.22,72.24,153.8,0
N4725G  ,United States,28.3059,-82.4102,609.6,50.93,171.87,0
N47404  ,United States,35.6511,-77.6089,1981.2,72.21,40.96,0
AAL1869 ,United States,33.4377,-112.003,,0.0,5.62,0
SWR147  ,Switzerland,28.545,76.3974,5623.56,186.23,294.65,0
EJU354K ,Austria,47.866,1.3995,4953.0,169.9,16.9,0
SWA1086 ,United States,35.3815,-92.2649,11277.6,289.13,120.35,0
DAL759  ,United States,31.8737,-84.3993,9776.46,255.72,178.96,0
EWG5R   ,Germany,50.8272,4.728,9083.04,227.61,101.21,0
EWG7PG  ,Germany,52.2247,9.9015,7330.44,229.53,354.34,0
N92595  ,United States,39.6521,-82.5782,914.4,43.59,300.5,0
EWG7W   ,Germany,50.836,7.5466,4572.0,149.58,334.76,0
AMX928  ,Mexico,25.2399,-99.4423,6652.26,225.36,335.31,0
CXK1060 ,United States,32.4333,-97.1136,1028.7,72.05,178.36,0
NSZ3TW  ,Sweden,45.9819,6.7111,10972.8,216.83,357.28,0
DLH9PP  ,Germany,50.8293,6.0508,10965.18,229.88,287.99,0
N992CE  ,United States,42.2278,-99.3243,11887.2,259.62,85.34,0
N525BB  ,United States,44.9145,-93.0427,259.08,58.97,324.23,0
IBE0269 ,Spain,-19.3938,-40.766,11590.02,219.16,208.61,0
JBU479  ,United States,24.901,-77.4389,11879.58,234.91,176.99,0
N853WM  ,United States,35.8365,-79.0911,952.5,103.01,156.76,0
UAL326  ,United States,38.4826,-79.5756,7719.06,213.12,75.46,0
N339ET  ,United States,42.8548,-91.995,12192.0,218.1,284.2,0
DLH8PF  ,Germany,42.9603,22.9658,4876.8,181.13,109.93,0
DAL1948 ,United States,28.6864,-109.3623,10668.0,226.63,152.85,0
DLH27F  ,Germany,49.8495,8.3302,2773.68,150.26,224.03,0
PPCMC   ,Brazil,-19.677599999999998,-43.1439,12192.0,179.5,230.7,0
AKJ183H ,India,13.1907,77.5425,1729.74,84.39,88.6,0
AEE615  ,Greece,48.2263,5.9645,10523.22,251.92,114.11,0
AEE909  ,Greece,35.9108,29.4081,10980.42,216.0,292.11,0
GWI3JN  ,Germany,52.1003,10.9991,9608.82,228.56,353.02,0
DLH6MH  ,Germany,51.2025,1.3771,9494.52,223.03,102.66,0
DLH7LV  ,Germany,49.4606,12.5806,9037.32,242.65,11.62,0
SKW5855 ,United States,44.1294,-108.0307,10058.4,218.14,90.68,0
N141HL  ,United States,37.5045,-77.2944,419.1,55.96,6.86,0
DLH7HC  ,Germany,47.7571,15.2845,11871.96,221.65,112.52,0
EWG69T  ,Germany,53.5192,9.7641,800.1,96.83,50.39,0
N6039H  ,United States,36.0844,-80.0787,2004.06,64.51,237.7,0
DLH99X  ,Germany,47.2455,7.7509,11887.2,229.15,243.9,0
SAS909  ,Norway,40.7008,-74.179,,4.12,151.88,0
ZKTUT   ,New Zealand,-39.6286,176.7784,30.48,34.74,207.32,0
SWG6147 ,Canada,41.5646,-73.6416,11277.6,246.37,9.01,0
N632BA  ,United States,36.0986,-115.1614,,3.86,334.69,0
DAL2739 ,United States,41.7652,-72.5814,1600.2,140.31,9.5,0
N56HP   ,United States,27.9513,-79.7477,8534.4,167.14,137.62,0
N121BZ  ,United States,24.239,-73.5801,11582.4,234.61,302.64,0
UAL1628 ,United States,35.3754,-77.9341,10668.0,226.37,356.09,0
EDV4941 ,United States,44.4903,-84.3967,10363.2,186.91,277.75,0
