callsign,originCountry,lat,lon,alt,vel,dir,cat
AIP317  ,United States,40.4479,-96.7185,7330.44,147.14,359.4,0
N5107Y  ,United States,30.1599,-81.9711,2743.2,73.85,190.84,0
VTBRS   ,India,50.9117,3.3734,12291.06,248.61,109.33,0
JAL728  ,Japan,21.2618,117.9008,11277.6,259.53,75.77,0
N246GS  ,United States,34.5576,-117.2475,12108.18,170.32,276.42,0
SWA590  ,United States,38.2914,-104.9969,10972.8,184.76,248.44,0
NKS1850 ,United States,31.4412,-82.2428,9456.42,206.83,333.24,0
N40AP   ,United States,35.7847,-79.4844,922.02,68.44,358.71,0
N504WT  ,United States,39.5807,-84.7578,12496.8,232.55,37.63,0
N900PY  ,United States,41.0325,-81.5581,13716.0,287.46,108.14,0
N504WV  ,United States,36.0623,-85.1545,13716.0,274.32,163.77,0
C6559   ,United States,38.2347,-122.564,167.64,60.1,305.59,0
N2840K  ,United States,34.8344,-86.5419,457.2,53.5,247.38,0
N266LA  ,United States,32.9556,-111.7537,723.9,42.42,104.04,0
EDV5014 ,United States,40.7734,-73.8623,,0.19,123.75,0
FFL942  ,United States,33.0647,-84.6786,3505.2,94.35,105.17,0
JBU1287 ,United States,39.3672,-73.8672,10972.8,208.17,213.61,0
BAW972  ,United Kingdom,53.1142,6.7863,11422.38,223.52,74.65,0
ROK50   ,United States,33.3038,-111.4344,1066.8,53.04,8.37,0
N244MA  ,United States,26.5773,-81.8744,60.96,47.38,48.52,0
ENY3809 ,United States,32.7734,-85.4533,10972.8,202.59,233.36,0
,United States,44.5074,-121.2925,1950.72,17.29,233.47,0
DAL803  ,United States,34.0549,-98.8472,9860.28,269.95,125.54,0
N119UV  ,United States,40.1425,-111.676,1950.72,41.75,112.46,0
EMB163  ,United States,27.5998,-79.9934,7010.4,87.51,267.98,0
UAL1357 ,United States,40.6864,-74.1741,,7.72,25.31,0
N159M   ,United States,52.7372,-114.1516,7772.4,211.0,198.48,0
N484BL  ,United States,35.5501,-78.3633,350.52,48.83,16.53,0
EJU68VN ,Austria,49.0351,2.9453,6187.44,193.96,98.39,0
ENY3608 ,United States,43.4713,-80.3273,5074.92,208.09,69.15,0
SKW5068 ,United States,31.1873,-92.6576,9753.6,205.23,242.86,0
N1934G  ,United States,40.9612,-76.0286,1074.42,36.49,201.5,0
N492AG  ,United States,29.9693,-98.4974,2034.54,72.24,54.27,0
AAL1656 ,United States,32.8209,-97.0264,495.3,76.66,359.23,0
N8903C  ,United States,34.2314,-118.4913,342.9,36.62,175.97,0
JBU2064 ,United States,39.2552,-74.8753,8839.2,241.92,31.26,0
UAL1395 ,United States,30.935200000000002,-99.674,8465.82,249.17,99.99,0
SDM6111 ,Russian Federation,61.5806,49.9126,11285.22,226.3,79.12,0
BAW858V ,United Kingdom,50.7916,4.345,11894.82,236.8,100.89,0
SWA1542 ,United States,32.715,-112.6246,11887.2,260.04,95.68,0
N474PE  ,United States,33.4286,-112.0115,,14.4,106.88,0
AAL1271 ,United States,39.7616,-79.2775,10058.4,239.33,19.33,0
NKS909  ,United States,26.9224,-81.519,7947.66,235.42,316.33,0
N65CP   ,United States,35.6792,-86.58,1828.8,90.96,301.35,0
SWA3511 ,United States,38.2408,-111.6238,11277.6,251.55,70.53,0
SKW9919 ,United States,41.6877,-121.8648,6385.56,218.7,318.62,0
N2500X  ,United States,28.3533,-80.7055,175.26,45.39,197.82,0
SKW3485 ,United States,45.703,-121.7164,8229.6,163.34,168.37,0
N9253V  ,United States,36.3416,-86.7535,1965.96,61.72,309.93,0
JSX175  ,United States,36.9731,-121.8149,7810.5,210.2,138.08,0
SWA3504 ,United States,41.5706,-73.7445,8404.86,208.64,212.51,0
N40AV   ,United States,14.5291,-90.4976,1912.62,51.41,161.93,0
SWA1864 ,United States,32.751,-97.8097,8321.04,173.27,252.37,0
CRQ460  ,Canada,46.4869,-75.3704,6720.84,113.16,316.29,0
LXJ396  ,United States,34.669,-78.0345,11955.78,212.28,11.75,0
UAL2159 ,United States,37.3624,-100.3748,10363.2,196.8,314.68,0
YEL94   ,United States,33.0104,-84.1898,7018.02,212.36,143.07,0
UAL906  ,United States,41.9879,-87.6202,1219.2,91.57,270.32,0
N406S   ,United States,45.9338,-95.7812,4069.08,114.58,4.64,0
RPA4646 ,United States,37.4943,-77.4921,6469.38,203.03,20.78,0
FFT2014 ,United States,30.9201,-81.4174,10058.4,226.59,357.4,0
DAL2225 ,United States,33.6184,-84.0867,10668.0,263.42,160.61,0
SKW5899 ,United States,39.1875,-120.1837,6553.2,155.18,282.05,0
AAL1453 ,United States,39.8719,-74.6409,4808.22,226.68,37.62,0
SWA1473 ,United States,30.2051,-95.1657,5196.84,207.35,34.79,0
SVA118  ,Saudi Arabia,45.6513,12.0887,11277.6,254.53,121.02,0
JBU416  ,United States,42.1658,-79.7772,10668.0,263.43,101.38,0
N617FG  ,United States,40.5663,-74.7919,2057.4,47.16,13.88,0
JBU672  ,United States,38.8112,-76.1381,10660.38,248.53,40.38,0
FFT3134 ,United States,35.3097,-80.7961,2430.78,162.88,127.56,0
AMX681  ,United States,19.4271,-99.0857,2164.08,88.84,58.98,0
AAL2798 ,United States,38.2559,-119.3125,8839.2,252.29,80.02,0
JRE943  ,United States,36.2829,-102.7524,13106.4,286.19,70.69,0
BAW2203 ,United Kingdom,24.4949,-78.2602,11582.4,244.36,252.1,0
N329DA  ,United States,40.1779,-74.1127,205.74,40.65,321.68,0
BAW43C  ,United Kingdom,29.0789,-81.9141,5273.04,212.18,145.77,0
FTH444  ,United States,35.3587,-114.3578,11582.4,200.21,308.64,0
MXY174  ,United States,37.8643,-75.6502,11277.6,259.41,34.41,0
SWA3441 ,United States,32.4256,-91.9649,11582.4,200.74,233.34,0
THY8AH  ,Turkey,40.9074,29.0786,1996.44,129.58,274.78,0
ENY3444 ,United States,29.5117,-82.8037,9144.0,221.23,327.83,0
JBU724  ,United States,34.7342,-114.5245,10675.62,252.31,52.29,0
UAL1736 ,United States,35.7041,-115.1381,10972.8,235.35,230.5,0
DAL358  ,United States,43.2939,-103.5489,10668.0,244.79,122.12,0
N759GL  ,United States,35.2861,-98.057,1981.2,77.12,197.47,0
JED280  ,United States,29.052,-81.3069,190.5,45.59,130.88,0
ISU1    ,United States,39.5295,-87.4099,861.06,60.91,142.55,0
CXK597  ,United States,34.0903,-117.7606,365.76,31.39,270.94,0
AAL1889 ,United States,30.1319,-96.4584,6789.42,202.14,279.97,0
EJA562  ,United States,41.7462,-87.6973,495.3,78.23,313.67,0
N903TF  ,United States,26.134900000000002,-80.9071,2758.44,155.71,100.08,0
N808CP  ,United States,39.3307,-76.5092,243.84,67.02,102.86,0
N432TF  ,United States,40.0174,-83.5946,922.02,46.96,312.78,0
THY1MA  ,Turkey,41.1597,28.7095,640.08,84.38,359.3,0
EDV5012 ,United States,38.9902,-79.3408,9753.6,213.28,254.76,0
EDV5516 ,United States,38.1291,-76.626,5852.16,213.9,45.39,0
FFT1928 ,United States,40.3138,-78.0922,7627.62,274.73,90.54,0
N770CC  ,United States,35.1325,-93.7068,4511.04,202.85,337.01,0
CXK1119 ,United States,27.8903,-82.6982,121.92,46.04,39.56,0
SWA2299 ,United States,41.3457,-88.9232,3215.64,196.36,84.59,0
N3841W  ,United States,33.2277,-117.3357,579.12,52.35,67.47,0
ZKVQM   ,New Zealand,-36.7294,174.545,297.18,70.67,58.39,0
N4370N  ,United States,45.0296,-93.2733,701.04,47.04,264.35,0
CXK565  ,United States,35.4634,-80.3943,518.16,48.33,27.93,0
ASA1085 ,United States,45.6177,-123.0601,11277.6,217.21,175.65,0
N63NY   ,United States,35.2957,-82.4646,1691.64,93.47,13.04,0
LTA943  ,United States,39.7626,-86.2501,716.28,36.89,219.91,0
SWA3611 ,United States,40.768299999999996,-81.3052,7536.18,231.23,152.86,0
THY8PY  ,Turkey,46.0511,27.8804,5463.54,202.72,172.86,0
CCA983  ,China,57.6895,-172.0732,10058.4,263.28,68.45,0
N63456  ,United States,36.2804,-115.3521,1813.56,46.93,315.44,0
JBU578  ,United States,34.9625,-118.2749,10066.02,248.7,116.41,0
CXK1028 ,United States,35.7079,-80.4971,609.6,40.93,194.56,0
VPCRT   ,United Kingdom,42.7659,-107.62,13716.0,275.51,112.16,0
N357HS  ,United States,33.0717,-116.9399,1112.52,73.87,143.21,0
N511MA  ,United States,33.4155,-84.9738,914.4,63.28,154.48,0
LXJ609  ,United States,30.0221,-90.3894,563.88,74.38,102.79,0
SWA2739 ,United States,43.4358,-116.5039,4655.82,132.79,225.78,0
THY78T  ,Turkey,41.2285,28.7082,243.84,69.97,359.58,0
TAP877  ,Portugal,39.479,-6.5531,10668.0,247.78,243.22,0
THY88K  ,Turkey,39.9566,40.9734,11887.2,261.34,90.0,0
N2597Q  ,United States,30.6635,-97.1844,2011.68,59.18,271.49,0
ENT5140 ,Poland,49.5286,21.4222,10972.8,239.2,345.43,0
SWA1935 ,United States,37.5342,-105.687,7924.8,217.43,232.21,0
SVA871  ,Saudi Arabia,22.8939,85.1664,10965.18,218.35,274.73,0
N51DJ   ,United States,36.1422,-94.7256,7322.82,132.21,359.78,0
UAL26   ,United States,40.8475,-103.3645,8602.98,218.03,217.33,0
SKW5748 ,United States,48.9107,-95.2652,10744.2,185.53,314.55,0
ANZ412  ,New Zealand,-37.2532,174.8601,967.74,134.09,349.16,0
SKW3600 ,United States,40.7315,-80.4726,3086.1,169.14,138.7,0
AMX423  ,Mexico,19.3911,-99.2315,3040.38,118.67,148.65,0
DAL469  ,United States,41.0069,-107.0287,9753.6,219.79,251.01,0
N189PB  ,United States,27.2646,-97.2415,10058.4,162.61,31.68,0
KLM1377 ,Kingdom of the Netherlands,52.2224,5.4886,4518.66,182.11,101.41,0
N831BR  ,United States,25.649,-80.5325,335.28,45.83,182.57,0
EJM98   ,United States,36.2065,-112.3325,13106.4,214.71,249.52,0
ENT7606 ,Poland,37.671,-6.6706,10972.8,223.44,41.36,0
N439WC  ,United States,29.3438,-83.9681,6713.22,121.71,296.35,0
N189PC  ,United States,40.2019,-111.7292,1554.48,40.18,230.19,0
N930DV  ,United States,39.5468,-101.0179,9448.8,176.69,75.15,0
FDX5391 ,United States,35.1783,140.8341,8831.58,277.63,61.44,0
KLM835  ,Kingdom of the Netherlands,52.314,4.7641,,0.0,340.31,0
KLM33J  ,Kingdom of the Netherlands,52.3149,4.7472,,0.06,272.81,0
THY2AV  ,Turkey,40.9221,47.908500000000004,11277.6,261.43,102.04,0
EDV5412 ,United States,31.9375,-82.535,10668.0,214.68,332.45,0
TAP9730 ,Portugal,45.0371,-3.6443,12192.0,200.16,19.83,0
SWA335  ,United States,31.6067,-93.9627,10706.1,260.93,43.32,0
KLM27F  ,Kingdom of the Netherlands,52.1522,6.3947,8001.0,226.04,81.89,0
AAL2046 ,United States,38.2467,-119.3824,9448.8,274.29,79.95,0
N1250V  ,United States,36.8212,-83.1643,8534.4,171.3,341.62,0
RVF8700 ,United States,41.1703,-82.0942,11582.4,204.52,250.61,0
ASA1061 ,United States,38.5284,-121.08,8938.26,253.71,352.54,0
N174AH  ,United States,32.6953,-97.0478,274.32,35.51,1.6600000000000001,0
GZP491  ,Russian Federation,55.2015,60.3516,10668.0,235.22,82.21,0
SWA2278 ,United States,32.7304,-96.6033,1234.44,127.53,221.73,0
DAL633  ,United States,29.384900000000002,-82.7021,10668.0,243.51,164.44,0
SWA2935 ,United States,33.6676,-81.0052,11887.2,246.87,26.89,0
KLM89E  ,Kingdom of the Netherlands,55.3168,10.2779,11887.2,226.37,52.48,0
UAE363  ,United Arab Emirates,22.9743,84.0852,10363.2,223.67,273.43,0
KLM84A  ,Kingdom of the Netherlands,49.2079,7.5534,11582.4,228.33,312.35,0
CXK532  ,United States,35.8769,-81.5798,1226.82,44.45,16.13,0
KLM1145 ,Kingdom of the Netherlands,52.3321,4.7445,,11.32,2.81,0
N357EE  ,United States,27.9172,-82.4463,12496.8,249.17,153.91,0
EJA343  ,United States,34.8864,-80.8324,5989.32,184.55,203.49,0
,United Arab Emirates,25.2138,55.41,1958.34,117.6,152.09,0
FDY128  ,United States,39.8945,-77.9914,2804.16,89.76,151.97,0
N360CK  ,United States,27.4566,-80.6486,5013.96,155.79,324.0,0
N851MB  ,United States,40.2096,-104.9777,1706.88,68.07,222.86,0
SWA1989 ,United States,36.1861,-96.1098,2004.06,137.73,35.11,0
N432R   ,United States,33.713,-118.25,701.04,41.48,246.61,0
SWA5072 ,United States,36.0797,-115.1462,,0.0,354.38,0
N139R   ,United States,33.3345,-79.9073,2156.46,89.5,27.01,0
IBE07TA ,Spain,51.4705,-0.48550000000000004,,0.77,180.0,0
IBE07ZC ,Spain,46.4456,6.7143,11582.4,230.67,46.08,0
DAL15   ,United States,43.1358,-66.6024,11582.4,212.81,259.7,0
KLM951  ,Kingdom of the Netherlands,53.7901,-2.1796,11582.4,204.72,280.72,0
KLM1063 ,Kingdom of the Netherlands,52.3261,4.7353000000000005,,12.86,182.81,0
KLM1038 ,Kingdom of the Netherlands,53.3646,-2.2797,,0.9,135.0,0
ASI993  ,United States,33.8663,-112.4435,1501.14,48.69,141.43,0
KLM1949 ,Kingdom of the Netherlands,51.6172,6.1081,8534.4,214.44,139.09,0
KLM15H  ,Kingdom of the Netherlands,52.3162,4.7466,,3.6,8.44,0
JBU2116 ,United States,37.6649,-122.3118,739.14,102.5,54.4,0
DAL2262 ,United States,36.1734,-114.6115,4503.42,189.62,86.73,0
IBS18XN ,Spain,50.247,3.9186,11277.6,261.98,214.44,0
ANE1358 ,Spain,40.7241,-3.5757,1706.88,112.67,179.48,0
N439SC  ,United States,32.2201,-85.6128,2903.22,63.06,115.1,0
XSR337  ,United States,37.1541,-79.717,13716.0,216.35,14.04,0
AAL3266 ,United States,32.2489,-81.8528,11277.6,240.66,26.13,0
N8045N  ,United States,26.1958,-80.1993,137.16,50.22,83.53,0
IBS1835 ,Spain,40.1655,5.6216,9144.0,236.95,75.54,0
EJA905  ,United States,29.8914,-95.1627,1554.48,120.89,90.0,0
TCN808  ,United States,35.9778,-115.1382,,0.0,0.0,0
ELY007  ,Israel,44.402,-60.3195,11574.78,217.47,262.39,0
N9384J  ,United States,37.5992,-76.4137,1028.7,49.74,259.27,0
ATN3425 ,United States,37.0626,-87.6062,11582.4,180.07,238.67,0
AAL540  ,United States,42.1841,-115.0024,10980.42,240.12,341.64,0
ANZ282L ,New Zealand,-41.2121,175.0465,2377.44,108.18,42.11,0
PDU58   ,United States,40.4158,-86.934,,0.06,5.62,0
SWA446  ,United States,30.7565,-93.6989,10058.4,209.95,226.29,0
N702RJ  ,United States,31.224,-84.0123,6035.04,113.28,276.0,0
ASA699  ,United States,49.1995,-123.1699,,6.43,278.44,0
N9250P  ,United States,30.1368,-96.2253,2834.64,98.6,122.86,0
DAL2280 ,United States,43.6977,-89.584,10972.8,205.72,324.36,0
IBE07EV ,Spain,40.5002,-3.5743,,12.86,163.12,0
N7QD    ,United States,40.8214,-73.9459,365.76,1.54,180.0,0
N111GU  ,United States,45.1952,-91.8578,1744.98,120.0,33.28,0
N930FE  ,United States,36.7256,-114.3072,3657.6,75.97,211.43,0
SKW4928 ,United States,34.923,-100.7758,11277.6,254.63,120.61,0
LXJ457  ,United States,29.3422,-78.6736,13510.26,225.05,7.22,0
RFE9726 ,Russian Federation,42.2572,44.6873,10058.4,235.91,79.57,0
CSQ344  ,United States,22.0081,-72.4003,3832.86,117.86,303.97,0
N33864  ,United States,40.6452,-87.2767,1463.04,72.07,124.82,0
AAL1948 ,United States,32.2445,-96.1836,4732.02,170.73,285.38,0
UAL787  ,United States,30.6089,-95.062,5532.12,207.22,28.79,0
AAL61   ,United States,50.0449,-108.4944,10363.2,241.71,337.47,0
N464JB  ,United States,40.6253,-74.8019,5684.52,84.18,249.24,0
AAL606  ,United States,37.546,-77.8127,11277.6,265.77,105.84,0
N7220J  ,United States,27.8512,-80.5022,2225.04,103.99,160.04,0
JRE780  ,United States,29.2248,-79.3032,12801.6,205.96,192.4,0
SWA2183 ,United States,33.905,-100.7952,9890.76,238.34,150.95,0
ZEBRA8  ,Switzerland,47.4539,8.5591,,7.72,185.62,0
ANZ234L ,New Zealand,-38.1093,176.3164,,3.09,92.81,0
JBU2223 ,United States,38.9556,-107.6434,10972.8,206.9,268.29,0
,United States,34.0597,-117.5883,,0.0,0.0,0
N702KA  ,United States,47.6451,-122.3346,167.64,30.91,182.86,0
SWA3104 ,United States,39.9903,-82.85,388.62,75.32,274.31,0
RYR1WU  ,Ireland,50.4389,12.426,9410.7,239.18,302.53,0
RYR906D ,Ireland,49.7424,13.1839,10972.8,235.57,303.24,0
RYR51UF ,Ireland,38.3029,-0.7068,586.74,87.62,99.46,0
,Dominican Republic,24.8817,-78.9334,8610.6,240.23,305.32,0
AAL1275 ,United States,31.7332,-92.6469,9753.6,203.23,260.82,0
RYR9062 ,Ireland,45.5142,0.9633,10972.8,183.96,353.09,0
SWA1650 ,United States,37.4171,-92.1867,11582.4,183.66,217.03,0
AAL2974 ,United States,36.4269,-86.9864,10668.0,293.98,72.17,0
DAL680  ,United States,40.86,-106.7066,11231.88,228.21,255.78,0
BCS51M  ,Austria,55.6289,12.6729,-83.82,63.45,221.05,0
JIA5480 ,United States,35.6951,-82.578,7315.2,235.53,105.58,0
FAG038  ,Argentina,3.64,-74.0364,8686.8,241.75,164.57,0
JBU611  ,United States,43.0774,-80.6324,10927.08,197.11,268.35,0
UAL369  ,United States,41.9883,-87.874,266.7,71.0,270.42,0
RYR9VZ  ,Ireland,47.6748,-7.7166,11582.4,200.68,348.32,0
ASA486  ,United States,35.3828,-119.6765,10972.8,202.67,299.17,0
N75598  ,United States,38.8002,-91.958,1005.84,51.51,39.73,0
PSFSW   ,United States,28.3998,-81.3266,167.64,62.25,0.0,0
AAL3260 ,United States,25.8838,-80.158,1744.98,143.03,0.8200000000000001,0
RYR43HH ,Ireland,52.5165,13.5388,3078.48,146.57,260.5,0
AMX175  ,Mexico,19.429,-99.0824,2148.84,88.14,59.09,0
N604D   ,United States,26.1766,-80.4538,624.84,92.65,91.91,0
AAL175  ,United States,39.4343,-102.903,10355.58,251.11,343.09,0
EIN1AC  ,Ireland,44.9588,-62.8201,9753.6,175.56,246.51,0
N805AL  ,United States,42.5754,-83.9925,12504.42,266.64,88.01,0
AMX384  ,Mexico,19.4843,-98.9899,2948.94,115.4,58.86,0
N7JG    ,United States,40.4286,-87.9618,12230.1,209.48,339.74,0
VLG40EU ,Spain,42.1046,-3.0778,8877.3,186.11,22.6,0
N627EE  ,United States,39.7478,-88.9614,12192.0,193.28,276.88,0
AAL2397 ,United States,30.6353,-82.1819,10965.18,223.81,192.34,0
VLG40MQ ,Spain,51.679,3.9656000000000002,4320.54,182.4,23.96,0
ANZ681  ,New Zealand,-44.7562,171.3636,8564.88,233.44,213.13,0
LFA534  ,United States,28.7438,-81.2212,335.28,49.78,336.88,0
N80VJ   ,United States,26.0206,-80.262,335.28,74.19,273.18,0
N734AM  ,United States,26.3502,-81.716,2072.64,53.47,315.39,0
N6JG    ,United States,29.7897,-82.1719,9227.82,257.45,182.41,0
N9562H  ,United States,26.2575,-80.1748,1493.52,46.04,346.43,0
AAL2840 ,United States,41.9748,-87.8985,,0.0,36.56,0
SWA2620 ,United States,36.4873,-82.0184,11582.4,190.15,238.16,0
WAF903  ,United States,18.4309,-66.0633,426.72,52.4,46.59,0
UAL1819 ,United States,40.7732,-73.8617,,0.0,120.94,0
SWA3044 ,United States,33.1735,-80.1533,11277.6,254.09,31.08,0
,United States,44.6537,-97.0598,2659.38,107.86,167.89,0
KLM1226 ,Kingdom of the Netherlands,52.0878,4.5924,1485.9,130.96,134.68,0
ZKSAL   ,New Zealand,-36.6411,174.5825,510.54,61.95,265.24,0
EJA923  ,United States,42.4016,-78.945,13106.4,187.03,273.15,0
N707QS  ,United States,21.8996,-71.4029,13106.4,229.65,301.16,0
DAL998  ,United States,38.5038,-118.4332,10652.76,269.28,78.54,0
N35683  ,United States,31.939,-80.9013,419.1,45.65,39.97,0
SWA4426 ,United States,28.1628,-85.3637,9113.52,249.81,96.98,0
UAL2053 ,United States,36.5463,-87.4943,11582.4,173.58,245.49,0
N9561V  ,United States,30.0948,-97.4348,784.86,53.78,291.9,0
UAL2856 ,United States,41.9728,-87.9149,,7.2,0.0,0
DLH468  ,Germany,30.2028,-97.6624,,0.0,244.69,0
SWA4508 ,United States,37.7475,-85.3077,10972.8,201.68,348.37,0
UAL2683 ,United States,41.8059,-95.1581,10363.2,205.6,263.39,0
VOI3223 ,Mexico,32.5384,-116.95,144.78,67.66,278.75,0
APG689  ,Philippines,12.6385,122.6552,10668.0,220.45,135.57,0
N119NG  ,United States,35.9887,-86.1234,1447.8,50.41,204.73,0
,Switzerland,47.4486,8.562,,1.8,331.88,0
N357QS  ,United States,26.4973,-81.6495,1440.18,136.44,133.93,0
N53107  ,United States,25.985,-80.3514,640.08,48.87,269.4,0
SKW5767 ,United States,41.5097,-94.6419,10972.8,217.68,188.02,0
00000000,United States,40.6037,-105.4963,11590.02,214.55,254.56,0
ACA1040 ,Canada,42.5366,-89.8628,10668.0,264.95,78.12,0
JBU651  ,United States,42.3686,-71.0152,,0.0,227.81,0
VLG56BZ ,Spain,44.6813,1.1646,11269.98,278.39,194.88,0
THY5EP  ,Turkey,41.2291,28.7081,243.84,72.03,359.18,0
TCKAM   ,Turkey,30.9472,31.2309,11887.2,227.34,170.62,0
N604BA  ,United States,42.661,28.9979,10668.0,272.88,85.78,0
G200SN23,Canada,44.9757,-63.6674,2034.54,148.4,55.59,0
ATN3417 ,United States,35.1716,-101.6071,10363.2,204.79,310.21,0
CBRA45  ,Canada,31.4193,-100.3011,1127.76,77.67,310.97,0
AAL777  ,United States,34.1094,-99.9404,10058.4,268.37,110.07,0
PDT5833 ,United States,30.9895,-84.4576,5090.16,174.68,351.7,0
RYR39WJ ,Ireland,51.1081,16.8821,,0.0,25.31,0
VOE1449 ,Spain,46.6832,11.7594,11285.22,228.32,183.49,0
RYR4RW  ,Ireland,51.8105,0.12290000000000001,411.48,74.57,45.28,0
VLG653F ,Spain,40.8002,5.7996,10363.2,226.0,95.88,0
RYR72GR ,Ireland,35.7449,30.1179,10363.2,219.92,312.54,0
NKS1512 ,United States,37.8717,-107.6774,11277.6,278.52,72.03,0
AAY20   ,United States,35.6054,-106.4939,10980.42,165.91,266.8,0
SWA2518 ,United States,33.8182,-118.146,,0.0,90.0,0
AAL2900 ,United States,34.0721,-110.1763,8359.14,259.0,67.46,0
VOE5RZ  ,Spain,40.9351,16.8547,11277.6,229.0,123.55,0
DAL1742 ,United States,33.6351,-84.5188,1188.72,123.99,269.29,0
CSC3885 ,China,13.8214,118.7818,11277.6,253.99,153.28,0
N675KS  ,United States,40.2658,-84.4515,7620.0,130.68,343.06,0
N385C   ,United States,32.6546,-86.7115,1333.5,82.89,353.23,0
RXA4124 ,Australia,-34.941,138.5393,,15.95,230.62,0
RPA3556 ,United States,39.7068,-92.8073,8481.06,199.86,264.98,0
N227AS  ,United States,31.4015,-100.2249,754.38,47.8,351.96,0
AAL1474 ,United States,31.5512,-81.9534,10058.4,221.93,350.12,0
AZU4398 ,Brazil,-23.0587,-47.0627,1112.52,61.23,307.83,0
N63PL   ,United States,38.999,-94.1708,1630.68,56.63,87.92,0
UAL2459 ,United States,49.9993,-112.9473,7924.8,226.23,338.8,0
R08408  ,United States,35.9677,-115.407,1341.12,83.21,30.05,0
LXJ602  ,United States,30.4119,-82.8324,13716.0,214.01,337.38,0
N187ND  ,United States,27.8323,-97.5039,243.84,51.32,28.11,0
AAL2468 ,United States,18.9624,-96.2348,10142.22,233.83,13.49,0
DAL1018 ,United States,28.856,-81.1502,10675.62,223.76,340.11,0
NKS14   ,United States,30.5688,-81.0944,11574.78,239.43,172.1,0
LHA4376 ,China,14.4387,120.024,7810.5,214.09,265.73,0
N227AJ  ,United States,33.5842,-111.4796,723.9,46.52,51.74,0
N527BF  ,United States,28.5294,-82.3926,327.66,63.18,9.85,0
ERU116  ,United States,28.9608,-80.9258,182.88,31.59,353.45,0
WSG1604 ,Canada,48.9279,-90.0795,4511.04,158.2,151.02,0
N9562P  ,United States,35.6022,-80.8997,556.26,42.95,145.74,0
N6513D  ,United States,34.5775,-111.7894,2834.64,56.08,359.47,0
LYM3714 ,United States,40.0056,-104.6858,2125.98,97.32,182.42,0
CHH492  ,China,40.4538,115.1434,5113.02,213.98,93.86,0
EDV5374 ,United States,33.09,-83.8984,3055.62,178.1,32.5,0
MTU98   ,United States,35.8481,-87.0984,1645.92,68.14,94.76,0
EDV4964 ,United States,40.6888,-76.3848,10340.34,185.64,281.19,0
BCS86N  ,Austria,49.9267,15.4387,11582.4,243.47,307.79,0
N65VM   ,United States,36.2061,-118.5485,7848.6,165.2,91.61,0
BDIT30  ,Canada,31.3814,-100.4846,838.2,68.98,2.14,0
N7854J  ,United States,28.2335,-82.6037,480.06,57.25,94.12,0
N5540N  ,United States,30.0907,-98.5471,1082.04,44.04,22.67,0
JBU1708 ,United States,36.1251,-114.7572,3596.64,160.98,106.52,0
BCS209P ,Austria,45.2219,9.7585,8130.54,230.23,139.44,0
RYR38YU ,Ireland,40.2087,15.0644,10972.8,219.57,322.81,0
RYR19SM ,Ireland,46.0184,1.3506,10675.62,264.8,170.72,0
BCS702P ,Austria,43.6237,1.3773,,0.0,2.81,0
UAL1986 ,United States,38.1773,-110.6303,11277.6,247.19,95.85,0
EIN1LH  ,Ireland,40.7874,-72.9345,3192.78,138.81,216.11,0
RYR1P   ,Ireland,51.4189,16.3541,10942.32,235.2,256.21,0
PRDLN   ,Brazil,19.384,-72.7723,13716.0,209.31,331.04,0
N822RL  ,United States,32.4719,-96.402,2461.26,133.99,312.51,0
N357TW  ,United States,32.4477,-93.9014,13106.4,184.92,267.13,0
N136HN  ,United States,37.3144,-79.9692,457.2,39.6,335.43,0
RPA4523 ,United States,41.5129,-74.6022,7749.54,174.45,299.89,0
THY1SR  ,Turkey,41.2125,28.7289,312.42,76.14,359.23,0
UAL1592 ,United States,40.3915,-102.844,9387.84,216.48,255.83,0
UAL783  ,United States,40.2513,-74.9093,3406.14,143.7,44.27,0
N760RV  ,United States,35.3426,-97.3953,1493.52,115.34,294.51,0
AAL2913 ,United States,33.4398,-111.9999,,6.17,90.0,0
CNS1382 ,United States,28.8609,-97.5899,3802.38,125.19,356.94,0
SKW3659 ,United States,39.7363,-81.6215,10363.2,202.62,339.95,0
AAL1774 ,United States,40.6359,-111.5826,6705.6,199.26,305.33,0
N996WW  ,United States,25.9891,-80.2654,182.88,45.18,352.15,0
JIA5654 ,United States,38.5914,-81.7157,10363.2,205.54,264.97,0
JIA5181 ,United States,33.3497,-84.4938,9753.6,208.87,232.71,0
N707PD  ,United States,40.4844,-105.0275,1676.4,43.68,164.98,0
TRA4T   ,Kingdom of the Netherlands,48.5435,0.5768,11582.4,188.98,35.25,0
DAL1150 ,United States,28.3946,-81.3264,175.26,73.06,359.19,0
SKW5921 ,United States,34.364,-117.4805,3345.18,161.95,119.5,0
SKW3931 ,United States,40.2434,-74.4189,5250.18,159.86,234.83,0
N325AX  ,United States,36.5898,-75.9067,6019.8,213.62,157.63,0
BAW783C ,United Kingdom,54.2516,4.0851,11094.72,276.36,207.61,0
BAW26AV ,United Kingdom,47.868,6.9427,11871.96,238.7,107.3,0
UAL1893 ,United States,37.6129,-122.361,-30.48,75.93,297.43,0
SWA2397 ,United States,35.655,-108.6638,6096.0,205.58,223.68,0
N90MC   ,United States,42.9582,-83.8036,1432.56,105.49,249.44,0
DAL542  ,United States,47.2663,-120.9843,6896.1,207.54,99.42,0
FIN8DP  ,Finland,60.9849,25.2644,7117.08,104.46,181.41,0
